Date,Open,High,Low,Close,Volume,Adj Close
2011-07-25,390.35,400.00,389.62,398.50,21045000,398.50
2011-07-22,388.32,395.05,387.75,393.30,18395400,393.30
2011-07-21,386.95,390.06,383.90,387.29,18787700,387.29
2011-07-20,396.12,396.27,386.00,386.90,33590100,386.90
2011-07-19,378.00,378.65,373.32,376.85,29140700,376.85
2011-07-18,365.43,374.65,365.28,373.80,20419100,373.80
2011-07-15,361.17,365.00,359.17,364.92,17265800,364.92
2011-07-14,361.01,361.61,356.34,357.77,15346300,357.77
2011-07-13,358.33,360.00,356.38,358.02,13973300,358.02
2011-07-12,353.53,357.68,348.62,353.75,16113400,353.75
2011-07-11,356.34,359.77,352.82,354.00,15809800,354.00
2011-07-08,353.34,360.00,352.20,359.71,17486900,359.71
2011-07-07,354.67,358.00,354.00,357.20,14260500,357.20
2011-07-06,348.95,354.10,346.71,351.76,15868100,351.76
2011-07-05,343.00,349.83,342.50,349.43,12680500,349.43
2011-07-01,335.95,343.50,334.20,343.26,15732300,343.26
2011-06-30,334.70,336.13,332.84,335.67,11534100,335.67
2011-06-29,336.04,336.37,331.88,334.04,12590900,334.04
2011-06-28,333.65,336.70,333.44,335.26,10496800,335.26
2011-06-27,327.59,333.90,327.25,332.04,12136200,332.04
2011-06-24,331.37,333.15,325.09,326.35,15707400,326.35
2011-06-23,318.94,331.69,318.12,331.23,19964300,331.23
2011-06-22,325.16,328.90,322.38,322.61,13933100,322.61
2011-06-21,316.68,325.80,315.20,325.30,17610000,325.30
2011-06-20,317.36,317.70,310.50,315.32,22867200,315.32
2011-06-17,328.99,329.25,319.36,320.26,21965000,320.26
2011-06-16,326.90,328.68,318.33,325.16,18220500,325.16
2011-06-15,329.75,330.30,324.88,326.75,14257000,326.75
2011-06-14,330.00,333.25,329.31,332.44,11938400,332.44
2011-06-13,327.20,328.31,325.07,326.60,11766900,326.60
2011-06-10,330.55,331.66,325.51,325.90,15498400,325.90
2011-06-09,333.25,333.67,330.75,331.49,9824600,331.49
2011-06-08,331.78,334.80,330.65,332.24,11918700,332.24
2011-06-07,338.17,338.22,331.90,332.04,18920900,332.04
2011-06-06,345.70,347.05,337.81,338.04,16485800,338.04
2011-06-03,343.18,345.33,342.01,343.44,11187500,343.44
2011-06-02,346.50,347.98,344.30,346.10,12099400,346.10
2011-06-01,348.87,352.13,344.65,345.51,19786900,345.51
2011-05-31,341.10,347.83,341.00,347.83,14892600,347.83
2011-05-27,334.80,337.63,334.31,337.41,7271400,337.41
2011-05-26,335.97,336.89,334.43,335.00,7948600,335.00
2011-05-25,333.43,338.56,332.85,336.78,10500200,336.78
2011-05-24,335.50,335.90,331.34,332.19,11497400,332.19
2011-05-23,329.97,335.98,329.42,334.40,13651700,334.40
2011-05-20,339.56,340.95,335.02,335.22,12070300,335.22
2011-05-19,342.08,342.41,338.67,340.53,9308100,340.53
2011-05-18,336.47,341.05,336.00,339.87,11931800,339.87
2011-05-17,332.00,336.14,330.73,336.14,16154800,336.14
2011-05-16,339.20,341.22,332.60,333.30,16063400,333.30
2011-05-13,345.66,346.25,340.35,340.50,11647000,340.50
2011-05-12,346.12,347.12,342.27,346.57,11400000,346.57
2011-05-11,349.02,350.00,345.24,347.23,11952700,347.23
2011-05-10,348.89,349.69,346.66,349.45,10191300,349.45
2011-05-09,347.86,349.20,346.53,347.60,7312400,347.60
2011-05-06,349.69,350.00,346.21,346.66,10004800,346.66
